ID,Type,flash_point,API,PM,TAG,R1,R4,MR_avg,y_pred,std,Error
RP-3-12,RP,45,52.7224228,45.2529993,49.8693289,50.4727928,44.6387028,48.59124932,46.1969,0.256575,2.659777778
RP-3-13,RP,44,49.4520825,43.1745505,47.6271751,47.7783819,45.9084501,46.78812802,45.9831,0.244648,4.507045455
RP-3-14,RP,56,59.0697509,53.3331991,57.8341152,54.4537329,55.3345601,56.00507164,54.2652,0.639586,3.097857143
RP-3-15,RP,45,49.2418343,42.8915869,47.2608991,46.7702968,45.1832815,46.26957972,45.5071,0.27719,1.126888889
RP-3-16,RP,47,52.2630241,47.4212762,51.8944004,50.1925388,50.5493885,50.4641256,46.5176,0.282592,1.026382979
RP-3-17,RP,44,49.0619283,43.0080024,47.3577043,47.2384191,45.8612379,46.5054584,45.8238,0.516059,4.145
RP-3-18,RP,44,59.452241,45.0928577,49.8192881,54.7628664,38.5307388,49.5315984,50.9696,0.979377,15.84
RP-3-19,RP,48,49.8606453,46.3618437,50.6871354,47.9592157,50.717203,49.11720862,46.8859,0.438689,2.321041667
RP-3-20,RP,44,51.3447976,42.389794,46.9363712,49.3280978,41.9678442,46.39338096,44.5282,0.256541,1.200454545
RP-3-21,RP,44,53.4963515,45.3815534,50.0011113,50.8685398,43.9213749,48.73378618,45.477,0.432659,3.356818182
RP-3-22,RP,46,50.7068624,43.9733825,48.4402553,48.9122171,46.376296,47.68180266,46.5274,0.448123,1.146521739
RP-3-23,RP,47,51.5870206,44.7338445,49.2701811,50.1726254,45.8251869,48.3177717,47.0631,0.280095,0.134255319
RP-3-24,RP,47,50.6241267,44.8071396,49.2196051,48.7595274,47.3849465,48.15906906,45.7194,0.238888,2.724680851
RP-3-25,RP,40,48.1941901,40.8902792,45.2143931,45.2045267,45.0747826,44.91563434,43.7306,0.318632,9.3265
RP-3-26,RP,45,49.5766638,42.294906,46.7335256,48.0718595,46.4779579,46.63098256,45.2306,0.289606,0.512444444
RP-3-27,RP,43,51.5343027,44.0004264,48.548058,49.7172054,44.4683781,47.65367412,46.0055,0.23905,6.989534884
RP-3-28,RP,43,50.3169461,40.9953,45.4851669,48.7588644,44.0320615,45.91766778,43.5204,0.455133,1.210232558
RP-3-29,RP,50,52.6917276,47.3012403,51.8586493,51.1077525,49.5567891,50.50323176,48.1,0.685865,3.8
